FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,EstimatedHomeGoals,EstimatedAwayGoals,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
2,0.10784313725490197,0.14285714285714285,0.16470588235294117,0.13414634146341464,1.0909090909090908,1.6363636363636365,L,D,W,L,D,L,D,W,W,L,1.202286126692174,2.754092827682361,0,0,0,0,0,0,0,0,-0.2727272727272727,0.36363636363636365,-0.5454545454545454,-0.18181818181818182,8.0
0,0.08823529411764706,0.06666666666666667,0.2,0.14634146341463414,0.45454545454545453,0.6363636363636364,L,L,D,W,D,L,D,D,L,D,0.8015240844614493,1.5737673301042063,0,0,0,0,0,0,0,0,-0.7272727272727273,-0.45454545454545453,-0.18181818181818182,0.18181818181818182,5.0
1,0.11764705882352941,0.12380952380952381,0.07058823529411765,0.08536585365853659,1.7272727272727273,1.5454545454545454,D,W,W,W,D,D,W,L,W,D,0.5009525527884058,0.1967209162630258,0,0,0,0,0,0,0,0,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.2727272727272727,14.0
2,0.10784313725490197,0.09523809523809523,0.058823529411764705,0.17073170731707318,2.0,0.8181818181818182,W,W,W,W,W,W,D,L,L,L,0.8015240844614493,0.47213019903126185,1,1,0,0,0,0,1,0,0.5454545454545454,-0.36363636363636365,1.1818181818181819,1.0,9.0
0,0.08823529411764706,0.0761904761904762,0.21176470588235294,0.12195121951219512,0.7272727272727273,1.0909090909090908,L,W,L,L,D,W,L,D,W,W,0.9618289013537392,1.0622929478203393,0,0,0,0,0,0,0,0,-0.8181818181818182,-0.18181818181818182,-0.36363636363636365,-0.5454545454545454,13.0
2,0.10784313725490197,0.08571428571428572,0.09411764705882353,0.1951219512195122,1.5454545454545454,0.8181818181818182,L,W,W,L,L,L,W,L,L,D,0.7213716760153044,0.35409764927344645,0,0,0,0,0,0,0,0,0.2727272727272727,-0.6363636363636364,0.7272727272727273,0.18181818181818182,10.0
2,0.12745098039215685,0.08571428571428572,0.08235294117647059,0.2073170731707317,1.5454545454545454,0.45454545454545453,D,W,L,W,D,L,L,D,W,D,1.6030481689228986,0.15737673301042066,0,0,0,0,0,0,0,0,0.5454545454545454,-0.7272727272727273,1.0909090909090908,0.2727272727272727,-17.0
0,0.08823529411764706,0.08571428571428572,0.18823529411764706,0.0975609756097561,0.8181818181818182,1.4545454545454546,L,W,L,L,D,W,W,L,W,L,0.601143063346087,0.7868836650521032,0,0,0,0,0,0,0,0,-0.6363636363636364,0.09090909090909091,-0.6363636363636364,-0.45454545454545453,2.0
2,0.08823529411764706,0.14285714285714285,0.11764705882352941,0.12195121951219512,1.2727272727272727,1.7272727272727273,W,L,W,W,L,L,W,D,L,W,2.645029478722783,1.7311440631146273,0,0,0,0,0,0,0,0,-0.09090909090909091,0.45454545454545453,-0.45454545454545453,0.18181818181818182,8.0
2,0.09803921568627451,0.10476190476190476,0.16470588235294117,0.0975609756097561,0.8181818181818182,1.5454545454545454,W,D,L,L,L,L,W,W,L,L,1.202286126692174,0.983604581315129,0,0,1,0,0,0,0,0,-0.36363636363636365,0.2727272727272727,-0.7272727272727273,-0.18181818181818182,-7.0
2,0.10784313725490197,0.06666666666666667,0.11764705882352941,0.1951219512195122,1.25,0.5,W,W,L,D,W,L,L,L,L,D,0.9490217555676351,0.9325638541084985,0,0,0,0,0,0,0,0,0.08333333333333333,-0.75,0.75,0.75,-5.0
0,0.10784313725490197,0.12380952380952381,0.15294117647058825,0.06097560975609756,0.8333333333333334,2.0833333333333335,W,L,D,D,L,W,W,W,W,W,0.889707895844658,1.1657048176356233,0,0,0,0,1,1,0,0,-0.16666666666666666,0.6666666666666666,-1.25,-0.8333333333333334,-5.0
2,0.14705882352941177,0.08571428571428572,0.11764705882352941,0.25609756097560976,1.5,0.6666666666666666,W,L,W,L,D,L,L,W,L,L,0.41519701806084036,0.1748557226453435,0,0,0,0,0,0,0,0,0.4166666666666667,-1.0,0.8333333333333334,0.3333333333333333,0.0
2,0.0392156862745098,0.14285714285714285,0.1411764705882353,0.18292682926829268,0.8333333333333334,1.25,W,W,D,L,L,W,L,D,W,L,0.5061449363027388,1.4921021665735976,0,0,0,0,0,0,0,0,-0.6666666666666666,0.0,-0.4166666666666667,0.0,6.0
2,0.1568627450980392,0.26666666666666666,0.12941176470588237,0.07317073170731707,1.75,2.5833333333333335,W,L,D,W,W,W,D,W,W,W,2.135298950027179,2.0982686717441217,0,0,0,0,1,0,0,0,0.4166666666666667,1.8333333333333333,-0.8333333333333334,-0.25,1.0
2,0.12745098039215685,0.12380952380952381,0.12941176470588237,0.08536585365853659,1.6666666666666667,1.6666666666666667,W,W,L,L,W,D,D,W,W,W,1.186277194459544,0.23314096352712466,0,0,0,0,1,0,0,0,0.16666666666666666,0.5,0.0,-0.16666666666666666,-7.0
0,0.1568627450980392,0.1523809523809524,0.16470588235294117,0.13414634146341464,1.5833333333333333,1.75,L,L,W,D,L,W,L,D,W,W,1.366591328017395,2.3500609123534164,0,0,0,0,0,0,0,0,0.16666666666666666,0.4166666666666667,-0.16666666666666666,-0.5,4.0
